sku,url_key,meta_title,meta_keywords,meta_description
VT12-LL-M,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-LL-L,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-KH-XS,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-KH-S,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-KH-M,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-KH-L,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT11-RN-XS,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT11-RN-S,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-RN-M,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-RN-L,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-MT-XS,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-MT-S,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-MT-M,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-MT-L,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LY-XS,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LY-S,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LY-M,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LY-L,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LL-XS,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LL-S,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LL-M,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT11-LL-L,valeria-two-layer-tank,Valeria Two-Layer Tank,"Valeria Two-Layer Tank,Fashion Tops",The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition.  Features: Scoop neck. Sleeveless. Sits below the hips
VT10-PE-XS,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-PE-S,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-PE-M,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-PE-L,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LY-XS,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LY-S,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LY-M,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LY-L,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LA-XS,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LA-S,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LA-M,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-LA-L,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-KH-XS,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-KH-S,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-KH-M,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT10-KH-L,vitalia-top,Vitalia Top,"Vitalia Top,Fashion Tops",The Vitalia Top is all about mixing it up. An interesting mix of cotton &amp; rayon materials makes this top hard to pin down. Wear it casual or dress it up. There are no rules here.  Features: V-neck. Capped sleeve. Sits on the hips. Faux wrap detail. D
VT09-RN-XS,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-RN-S,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-RN-M,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-RN-L,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-PE-XS,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-PE-S,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-PE-M,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-PE-L,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-LL-XS,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-LL-S,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-LL-M,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-LL-L,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-KH-XS,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-KH-S,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-KH-M,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT09-KH-L,emilia-cropped-lace-top,Emilia Cropped Lace Top,"Emilia Cropped Lace Top,Fashion Tops","The Emilia Lace Top is made to spice up your wardrobe without making you feel uncomfortable. Gorgeous open lace detail, back buttons, and the fun, cropped length will give you a little extra pep in your step.   Features: Crewneck . Button down back. Shor"
VT08-RN-XS,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-RN-S,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-RN-M,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-RN-L,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-MT-XS,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-MT-S,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-MT-M,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-MT-L,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LL-XS,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LL-S,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LL-M,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LL-L,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LA-XS,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LA-S,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LA-M,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT08-LA-L,aurora-sleeveless-blouse,Aurora Sleeveless Blouse,"Aurora Sleeveless Blouse,Fashion Tops","The Aurora Blouse is ready to go wherever you are. This top is wrinkle resistant, so it packs beautifully and hangs perfectly. Tabbed detail at the shoulders and dual pockets offer just the right amount of thoughtful design.  Features: Button down. Sleev"
VT07-RN-XS,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-RN-S,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-RN-M,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-RN-L,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-PE-XS,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-PE-S,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-PE-M,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-PE-L,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-LL-XS,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-LL-S,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-LL-M,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-LL-L,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-KH-XS,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-KH-S,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-KH-M,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
VT07-KH-L,serena-blouse,Serena Blouse,"Serena Blouse,Fashion Tops","The Serena Blouse is made with a silk rayon blend that will keep you feeling light and airy. Resistant to watermarks, you can feel confident in any temperature while looking flawless.  Features: Button down. Sleeveless . Sits at the hips. Spread collar. "
